TimeStamp,ECG,PPG,
21:36:02,1.0,-17198.0,0.0
21:36:02,-6.0,-17209.0,0.0
21:36:02,-6.0,-17286.0,0.0
21:36:02,-3.0,-17277.0,0.0
21:36:02,-4.0,-17171.0,0.0
21:36:02,-4.0,-17194.0,0.0
21:36:02,-2.0,-17180.0,0.0
21:36:02,-3.0,-17141.0,0.0
21:36:02,-4.0,-17180.0,0.0
21:36:02,-3.0,-17190.0,0.0
21:36:02,-4.0,-17257.0,0.0
21:36:02,-5.0,-17264.0,0.0
21:36:02,-4.0,-17332.0,0.0
21:36:02,-5.0,-17441.0,0.0
21:36:02,-6.0,-17433.0,0.0
21:36:02,-2.0,-17494.0,0.0
21:36:02,-1.0,-17552.0,0.0
21:36:02,-3.0,-17569.0,0.0
21:36:02,-2.0,-17562.0,0.0
21:36:02,-2.0,-17587.0,0.0
21:36:02,-3.0,-17720.0,0.0
21:36:02,0.0,-17669.0,0.0
21:36:02,-2.0,-17539.0,0.0
21:36:02,-8.0,-17609.0,0.0
21:36:02,-8.0,-17614.0,0.0
21:36:02,-2.0,-17624.0,0.0
21:36:02,-1.0,-17599.0,0.0
21:36:02,0.0,-17697.0,0.0
21:36:02,2.0,-17670.0,0.0
21:36:02,-1.0,-17600.0,0.0
21:36:02,-3.0,-17630.0,0.0
21:36:02,-2.0,-17586.0,0.0
21:36:02,-3.0,-17625.0,0.0
21:36:02,-4.0,-17692.0,0.0
21:36:02,-1.0,-17673.0,0.0
21:36:02,0.0,-17660.0,0.0
21:36:02,1.0,-17577.0,0.0
21:36:02,5.0,-17607.0,0.0
21:36:02,4.0,-17711.0,0.0
21:36:02,13.0,-17651.0,0.0
21:36:02,36.0,-17702.0,0.0
21:36:02,29.0,-17704.0,0.0
21:36:02,-27.0,-17670.0,0.0
21:36:02,-74.0,-17698.0,0.0
21:36:02,-69.0,-17686.0,0.0
21:36:02,-42.0,-17797.0,0.0
21:36:02,-24.0,-17799.0,0.0
21:36:02,-15.0,-17662.0,0.0
21:36:02,-9.0,-17759.0,0.0
21:36:02,-4.0,-17709.0,0.0
21:36:02,3.0,-17755.0,0.0
21:36:02,8.0,-17702.0,0.0
21:36:02,7.0,-17689.0,0.0
21:36:02,7.0,-17713.0,0.0
21:36:02,9.0,-17799.0,0.0
21:36:02,9.0,-17785.0,0.0
21:36:02,11.0,-17699.0,0.0
21:36:02,12.0,-17649.0,0.0
21:36:02,10.0,-17752.0,0.0
21:36:02,11.0,-17765.0,0.0
21:36:02,13.0,-17822.0,0.0
21:36:02,10.0,-17791.0,0.0
21:36:02,8.0,-17697.0,0.0
